Id,Label,track_name,artist,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,PageRank
2527625b-0752-48f3-95fd-c3f216686db8,,Strong Enough,Cher,1,10,11,7.0,3.5847457627118646,4093.691972981222,0.0043392869149389566
a88735e6-b35c-4379-8ef7-bbd2b793ccf4,,All or Nothing,Cher,1,10,11,8.0,4.0741525423728815,2505.68500886039,0.005477658508979307
bcd3a77c-64a6-4c03-967b-92a0f6880c44,,Can't Get You Out of My Head,Kylie Minogue,10,9,19,7.0,3.51271186440678,9733.569036268367,0.007033199979600179
31a6b752-291c-456f-ade5-f4b85545e6df,,Hung Up,Madonna,6,9,15,8.0,3.7245762711864407,3067.159873178753,0.00557176145876411
1111fd1f-7868-40a5-9dec-15dcd9b175a3,,Vogue,Madonna,5,9,14,6.0,3.455508474576271,17263.850293798798,0.006034404793922008
4988f79d-2945-471d-b238-79f04949ed34,,Get Outta My Way,Kylie Minogue,10,10,20,7.0,3.5677966101694913,12560.127524222497,0.00824216492120613
d48db0f4-fab6-4d18-bc1f-aec43772af96,,Waiting for Tonight,Jennifer Lopez,6,9,15,7.0,3.6504237288135593,11861.987252807052,0.0059183947260368006
9a48bf40-4567-473d-b9f6-100ae4ac83eb,,Applause,Lady Gaga,12,9,21,8.0,3.8072033898305087,4699.415431177088,0.008552209966929396
0118d2c3-ec15-470e-b22d-4ae0134bd46e,,Torn,Natalie Imbruglia,10,10,20,7.0,4.059322033898305,14383.760903030823,0.011177696308187015
35143c2f-0484-44e2-bf27-7baa7ca5e135,,Walking on Air,Katy Perry,23,8,31,7.0,3.3538135593220337,17529.707791249515,0.011831738316071528
b5e893c6-6c1d-452f-a6c5-4b40354d41bd,,Poker Face,Lady Gaga,3,8,11,8.0,3.9216101694915255,2253.353761568062,0.004656373441924797
5b5dda5d-7782-4ab2-8f49-cdbd98ecfc52,,Barbie Girl,Aqua,3,10,13,9.0,4.635593220338983,6710.957642610409,0.0065312717539700435
17410183-d250-49c9-8be1-04d26fa4c71d,,Let There Be Love,Christina Aguilera,2,8,10,8.0,4.055084745762712,325.7516018951438,0.0037795600007404706
030c5163-88d9-4e9f-babb-59aa3d9db620,,...Baby One More Time,Britney Spears,3,8,11,8.0,3.733050847457627,6525.708092007399,0.004895053951173856
aeff81b2-6e5c-4d1e-943f-e07b9a8cc29e,,Toxic,Britney Spears,10,8,18,7.0,3.3707627118644066,11979.307649064327,0.007128672717600877
0d6b001d-48c7-42f1-b617-ae0e3781eaa5,,Wannabe,Spice Girls,3,10,13,8.0,3.805084745762712,11533.8290394606,0.005887857080080722
7d9f69b7-81e7-4b42-ac24-ee58028740c8,,Not Myself Tonight,Christina Aguilera,10,9,19,7.0,3.5190677966101696,3894.0533697374285,0.007482752741978222
de9a5376-a45b-4255-8e82-031ce6728e87,,Say You'll Be There,Spice Girls,4,10,14,8.0,3.989406779661017,6899.22324174307,0.006335430307766511
